"name","type","description","validity_days","displayicon","tags","samplerequirements","reportavailability"
"Complete Blood Count","General","Used to look at overall health",180,"cbc","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"Urine Analysis","General"," Used to monitor certain health conditions and to diagnose urinary tract infections",180,"urine","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Urine","Same Day"
"Diabetic Profile","General","Used to determine a diabetic or prediabetic condition",180,"diabetic","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"Lipid Profile","General","Looks at the levels of cholesterol and other fats in your blood",180,"lipidprofile","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"Thyroid Function","General","Used to check the function of the thyroid i.e an overactive or underactive thyroid",180,"thyroid","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"Renal Function","General","Urine or blood tests that check how well the kidneys are working ",180,"renal","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"Liver Function","General","Blood tests used to help find the cause of your symptoms and monitor liver disease or damage",180,"liver","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"Vitamin D","General","Measures the level of vitamin D in your blood to make sure you have enough for your body to work well",180,"vitamind","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"Vitamin B12","General","Measures the level of vitamin B12 (also called cobalamin) found in your blood",180,"vitaminb12","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"ECG(Electrocardiogram)","General","Test to check the heartbeat. It records the electrical signals in the heart",180,"ecg","OLD,YOUNG,MALE,FEMALE,GENERAL HEALTH CHECKUP","Electrode patches attached to chest, arms and legs","Same Day"
"Mammography","General","An X-ray examination of the breast that is used to detect and diagnose breast disease in women",180,"mammography","OLD,YOUNG,FEMALE,GENERAL HEALTH CHECKUP","Imaging Test","Same Day"
"LBC-HPV","General","Checks for cervical HPV infection that are likely to cause cervical cancer",180,"hpv","OLD,YOUNG,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"Serum Calicum Phosphorous","General","Blood test to measure the amounf of calcium and phosphorous in your blood",180,"calcium","OLD,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"DXA Scan","General","A DXA scan (bone density test) is a quick, painless way to check your bone health",180,"dxa","OLD,MALE,FEMALE,GENERAL HEALTH CHECKUP","Imaging Test","Same Day"
"Stool Examination","General","Test that can detect germs in your stool to help diagnose gastrointestinal diseases and colon cancer",180,"stool","OLD,MALE,FEMALE,GENERAL HEALTH CHECKUP","Stool Sample","Same Day"
"Advanced Lipid Profile","General","Performed because standard cholesterol tests may not completely represent risk for heart disease",180,"lipidprofile","OLD,MALE,FEMALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"PSA(Prostate Specific Antigen)","General","Blood test that measures the level of psa, a protein made by the prostrate is measured.",180,"psa","OLD,MALE,GENERAL HEALTH CHECKUP","Blood Sample","Same Day"
"HRCT(High-Resolution Computed Tomography)","Personalised","Type of CT scan healthcare providers use to get detailed images of your lungs",180,"hrct","MALE,FEMALE,HEAVY SMOKER,PERSONALISED","Imaging Test","Same Day"
"PFT(Pulmonary Function Test)","Personalised","Shows how well your lungs are working with respect to volume, capacity,rate of flow and gax exchange",180,"pft","MALE,FEMALE,HEAVY SMOKER,LIGHT SMOKER,PERSONALISED","Respiratory Test","Same Day"
"Spiometry","Personalised","Measures how much air and how fast you can breathe in and out of your lungs",180,"spiometry","MALE,FEMALE,HEAVY SMOKER,LIGHT SMOKER,PERSONALISED","Respiratory Test","Same Day"
"Impulse Oscillometry","Personalised","It is a noninvasive method, which uses sound waves to measure respiratory mechanics",180,"impulseoscillometry","MALE,FEMALE,HEAVY SMOKER,LIGHT SMOKER,PERSONALISED","Respiratory Test","Same Day"
"Fibroscan","Personalised","non-invasive diagnostic device used to measure liver scarring or fibrosis caused by a number of liver diseases",180,"fibroscan","MALE,FEMALE,REGULAR DRINKER,PERSONALISED","Non Invasive probe placed on your liver","Same Day"
"AFP(Alpha Fetoprotein Test)","Personalised","A blood test performed to detect some liver disorders and some cancers in adults",180,"liver","MALE,FEMALE,REGULAR DRINKER,OCCASIONAL DRINKER,PERSONALISED","Blood Sample","Same Day"
"PIVIKA(Protein Induced By Vitamin K Absence)","Personalised","Useful tool for detection of ultrasound-detected liver nodules in cirrhotic patients",180,"pivka","MALE,FEMALE,REGULAR DRINKER,OCCASIONAL DRINKER,PERSONALISED","Clinical examination, abdominal ultrasonography & Blood Sample","Same Day"
"HBV-HIV-HCV Viral Load Test","Personalised","Blood test that measures the amount of HIV/HBV/HCV in a sample of your blood",180,"viralload","MALE,FEMALE,PREVIOUS INFECTION YES,PERSONALISED","Blood Sample","Same Day"
"SerumHBSAG-HIV-HCV","Personalised","Blood test to check if you are infected with HIV, HCV or HBSAG(Hepatitis B surface antigen)",180,"hiv-hbv-hcv","MALE,FEMALE,BLOOD EXPOSURE YES,PERSONALISED","Blood Sample","Same Day"
"TBIC(Total Iron Binding Capacity)","Personalised","Measures your blood's ability to attach to iron and carry it throughout your body",180,"tbic","FEMALE,MENSTRUAL HISTORY EXCESSIVE BLEEDING,PERSONALISED","Blood Sample","Same Day"
"Ferririn","Personalised","Measures a blood protein that contains iron and shows whether blood has too much or too little iron.",180,"ferrerin","FEMALE,MENSTRUAL HISTORY EXCESSIVE BLEEDING,PERSONALISED","Blood Sample","Same Day"
"Transferin Saturation","Personalised","Measures the amount of iron bound to the protein transferrin that carries iron in your blood",180,"ferrerin","FEMALE,MENSTRUAL HISTORY EXCESSIVE BLEEDING,PERSONALISED","Blood Sample","Same Day"
"Serum haptoglobin","Personalised","Measures the amount of haptoglobin in your blood",180,"haptoglobin","FEMALE,MENSTRUAL HISTORY EXCESSIVE BLEEDING,PERSONALISED","Blood Sample","Same Day"
"Follic Acid","Personalised","Checks for levels of folate in your blood and red blood cells",180,"follicacid","FEMALE,MENSTRUAL HISTORY EXCESSIVE BLEEDING,PERSONALISED","Blood Sample","Same Day"
"Serum FSH(Follicle-Stimulating Hormone)","Personalised","This test measures the level of follicle-stimulating hormone (FSH) in your blood",180,"fsh","FEMALE,MENSTRUAL HISTORY IRREGULAR PERIODS,PERSONALISED","Blood Sample","Same Day"
"LH(Luteinizing Hormone)","Personalised","This test measures the level of luteinizing hormone (LH) in your blood",180,"lh","FEMALE,MENSTRUAL HISTORY IRREGULAR PERIODS,PERSONALISED","Blood Sample","Same Day"
